trip_distance_id,trip_distance
75771,2
75945,2
75981,2
75988,2
76074,2
76108,2
76142,2
76198,2
76211,2
76615,2
77537,2
77884,2
78234,2
78255,2
79260,2
79299,2
79321,2
79517,2
79663,2
79666,2
79690,2
79704,2
79736,2
79839,2
79874,2
80561,2
80622,2
80658,2
80729,2
80732,2
80775,2
80842,2
80896,2
80924,2
81002,2
81331,2
81446,2
81483,2
81496,2
81780,2
81837,2
81923,2
81947,2
81958,2
82009,2
82243,2
82682,2
82770,2
82780,2
82815,2
82898,2
82971,2
83032,2
83126,2
83156,2
83209,2
83259,2
83342,2
83354,2
83506,2
83616,2
83956,2
83972,2
83994,2
84131,2
84144,2
84295,2
84344,2
84357,2
84547,2
84636,2
84687,2
84892,2
85064,2
85119,2
85128,2
85129,2
85171,2
85198,2
85553,2
85575,2
85791,2
85810,2
85830,2
85942,2
86093,2
86133,2
86254,2
86309,2
86345,2
86509,2
86512,2
86680,2
86763,2
86769,2
86844,2
86870,2
87106,2
87127,2
87228,2
87229,2
87392,2
87454,2
87610,2
87687,2
88044,2
88337,2
88388,2
88404,2
88493,2
88712,2
88728,2
88749,2
88829,2
88939,2
89140,2
89149,2
89200,2
89247,2
89340,2
89423,2
89467,2
89471,2
89554,2
89755,2
89769,2
89855,2
89873,2
90089,2
90121,2
90485,2
90565,2
90706,2
90727,2
90851,2
91009,2
91053,2
91182,2
91267,2
91273,2
91280,2
91380,2
91472,2
91567,2
91604,2
91611,2
91654,2
91780,2
91798,2
91818,2
92073,2
92085,2
92425,2
92522,2
92595,2
93141,2
93423,2
93503,2
93515,2
93606,2
93648,2
93708,2
93754,2
93862,2
93911,2
94618,2
94638,2
94745,2
95454,2
96391,2
96494,2
97086,2
99693,2
99732,2
99768,2
99798,2
99813,2
907,2.25
919,2.25
977,2.25
1281,2.25
1376,2.25
1379,2.25
1826,2.25
1902,2.25
1911,2.25
2093,2.25
2727,2.25
2979,2.25
4007,2.25
4739,2.25
5018,2.25
5222,2.25
5619,2.25
5941,2.25
6162,2.25
6336,2.25
